date,total_cases
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,1
2020-01-31,1
2020-02-01,1
2020-02-02,2
2020-02-03,2
2020-02-04,3
2020-02-05,3
2020-02-06,3
2020-02-07,3
2020-02-08,3
2020-02-09,3
2020-02-10,3
2020-02-11,3
2020-02-12,3
2020-02-13,3
2020-02-14,3
2020-02-15,3
2020-02-16,3
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,3
2020-02-21,3
2020-02-22,3
2020-02-23,3
2020-02-24,3
2020-02-25,3
2020-02-26,3
2020-02-27,3
2020-02-28,3
2020-02-29,3
2020-03-01,3
2020-03-02,3
2020-03-03,5
2020-03-04,6
2020-03-05,28
2020-03-06,29
2020-03-07,31
2020-03-08,34
2020-03-10,44
2020-03-11,50
2020-03-12,73
2020-03-13,75
2020-03-14,83
2020-03-15,90
2020-03-16,93
2020-03-17,125
2020-03-18,137
2020-03-19,165
2020-03-20,191
2020-03-21,231
2020-03-22,320
2020-03-23,439
2020-03-24,492
2020-03-25,562
2020-03-26,649
2020-03-27,724
2020-03-28,873
2020-03-29,979
2020-03-30,1071
2020-03-31,1251
2020-04-01,1397
2020-04-02,1965
2020-04-03,2301
2020-04-04,2902
2020-04-05,3374
2020-04-06,4067
2020-04-07,4421
2020-04-08,5194
2020-04-09,5734
2020-04-10,6412
2020-04-11,7447
2020-04-12,8356
2020-04-13,9152
2020-04-14,10363
2020-04-15,11438
2020-04-16,12380
2020-04-17,13387
2020-04-18,14378
2020-04-19,15712
2020-04-20,17265
2020-04-21,18600
2020-04-22,19984
2020-04-23,21393
2020-04-24,23077
2020-04-25,24506
2020-04-26,26496
2020-04-27,27892
2020-04-28,29435
2020-04-29,31332
2020-04-30,33050
2020-05-01,35043
2020-05-02,37336
2020-05-03,39980
2020-05-04,42533
2020-05-05,46433
2020-05-06,49391
2020-05-07,52952
2020-05-08,56342
2020-05-09,59662
2020-05-10,62939
2020-05-11,67152
2020-05-12,70756
2020-05-13,74281
2020-05-14,78003
2020-05-15,81970
2020-05-16,85940
2020-05-17,90927
2020-05-18,96169
2020-05-19,101139
2020-05-20,106750
2020-05-21,112359
2020-05-22,118447
2020-05-23,125101
2020-05-24,131868
2020-05-25,138845
2020-05-26,145380
2020-05-27,151767
2020-05-28,158333
2020-05-29,165799
2020-05-30,173763
2020-05-31,182143
2020-06-01,190535
2020-06-02,198706
2020-06-03,207615
2020-06-04,216919
2020-06-05,226770
2020-06-06,236657
2020-06-07,246628
2020-06-08,256611
2020-06-09,266598
2020-06-10,276583
2020-06-11,286579
2020-06-12,297535
2020-06-13,308993
2020-06-14,320922
2020-06-15,332424
2020-06-16,343091
2020-06-17,354065
